Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2019-08-23 21:59:56,2019-08-28 00:55:18,Tesco,-1.10,0.00,EUR,COMPLETED,854.00
Card Payment,Current,2019-08-23 22:04:53,2019-08-28 01:29:06,Gastronome (europe,-13.79,0.00,EUR,COMPLETED,840.21
Card Payment,Current,2019-08-23 14:02:05,2019-08-28 01:29:06,Dirty Bagels,-10.50,0.00,EUR,COMPLETED,829.71
Card Payment,Current,2019-08-23 21:22:28,2019-08-28 01:29:06,Santander Cycles,-2.21,0.00,EUR,COMPLETED,827.50
Card Payment,Current,2019-08-23 09:25:02,2019-08-28 01:29:06,The Flying Horse,-11.04,0.00,EUR,COMPLETED,816.46
Card Payment,Current,2019-08-24 13:24:25,2019-08-28 02:15:57,Whole Foods,-1.10,0.00,EUR,COMPLETED,815.36
Card Payment,Current,2019-08-24 21:18:36,2019-08-28 02:15:57,Shake Shack,-11.64,0.00,EUR,COMPLETED,803.72
Card Payment,Current,2019-08-24 22:54:11,2019-08-28 03:51:44,McDonald's,-1.10,0.00,EUR,COMPLETED,802.62
Card Payment,Current,2019-08-25 16:21:28,2019-08-28 03:51:44,Tesco,-2.22,0.00,EUR,COMPLETED,800.40
Card Payment,Current,2019-08-24 14:11:02,2019-08-28 03:51:44,Waitrose,-9.15,0.00,EUR,COMPLETED,791.25
Card Payment,Current,2019-08-25 18:21:05,2019-08-28 03:51:44,Marks & Spencer,-6.86,0.00,EUR,COMPLETED,784.39
Card Payment,Current,2019-08-24 10:42:17,2019-08-28 03:51:44,The Surrey Docks,-14.57,0.00,EUR,COMPLETED,769.82
Card Payment,Current,2019-08-24 19:19:45,2019-08-28 03:51:45,Decathlon,-12.17,0.00,EUR,COMPLETED,757.65
Card Payment,Current,2019-08-24 11:58:02,2019-08-28 03:51:45,Transport for London,-7.76,0.00,EUR,COMPLETED,749.89
Card Payment,Current,2019-08-28 01:47:06,2019-08-28 04:29:02,Transport for London,-7.75,0.00,EUR,COMPLETED,742.14
Card Payment,Current,2019-08-25 14:49:06,2019-08-28 04:29:03,The York Roast Co.,-9.43,0.00,EUR,COMPLETED,732.71
Card Payment,Current,2019-08-25 09:52:49,2019-08-28 04:29:03,The Surrey Docks,-17.80,0.00,EUR,COMPLETED,714.91
Card Payment,Current,2019-08-27 03:20:18,2019-08-28 11:27:14,Transport for London,-2.65,0.00,EUR,COMPLETED,712.26
Card Payment,Current,2019-08-26 07:48:01,2019-08-28 11:27:14,Starbucks,-7.00,0.00,EUR,COMPLETED,705.26
Card Payment,Current,2019-09-04 20:03:28,2019-09-06 11:17:20,Lime,-2.51,0.00,EUR,COMPLETED,702.75
Card Payment,Current,2019-09-06 17:09:23,2019-09-08 12:07:39,SNCF,-100.00,0.00,EUR,COMPLETED,602.75
Card Payment,Current,2019-09-15 18:17:57,2019-09-18 06:13:42,Free,-12.00,0.00,EUR,COMPLETED,590.75
Card Payment,Current,2019-09-24 23:08:15,2019-09-26 14:46:50,SNCF,-135.00,0.00,EUR,COMPLETED,455.75
Card Payment,Current,2019-09-25 18:56:01,2019-09-27 16:38:28,SNCF,-15.00,0.00,EUR,COMPLETED,440.75
Card Payment,Current,2019-09-28 19:00:15,,Vélo'v,-1.80,0.00,EUR,REVERTED,
Transfer,Current,2019-09-29 23:25:39,2019-09-29 23:25:39,Transfer from Fabien Martial Tissot,4.00,0.00,EUR,COMPLETED,444.75
Card Payment,Current,2019-09-28 19:00:35,2019-10-01 15:01:12,Vélo'V,-1.80,0.00,EUR,COMPLETED,442.95
Card Payment,Current,2019-10-02 17:10:12,2019-10-06 02:32:15,Air France,-38.62,0.00,EUR,COMPLETED,404.33
Card Payment,Current,2019-10-13 03:41:13,,Grab,-0.16,0.00,EUR,REVERTED,
Card Payment,Current,2019-10-13 17:59:29,,Grab,-1.25,0.00,EUR,REVERTED,
Card Payment,Current,2019-10-14 02:24:02,2019-10-17 23:30:16,Etraveli,-171.11,0.00,EUR,COMPLETED,233.22
Card Payment,Current,2019-10-14 01:38:38,2019-10-18 21:59:35,Grab,-5.96,0.00,EUR,COMPLETED,227.26
Card Payment,Current,2019-10-13 05:48:31,2019-10-21 08:45:33,Grab,-0.31,0.00,EUR,COMPLETED,226.95
Card Payment,Current,2019-10-13 03:58:42,2019-10-21 09:07:15,Grab,-2.50,0.00,EUR,COMPLETED,224.45
Card Payment,Current,2019-10-13 05:50:21,2019-10-21 09:15:44,Grab,-4.35,0.00,EUR,COMPLETED,220.10
Card Payment,Current,2019-10-13 14:41:58,2019-10-21 09:15:44,Grab,-1.19,0.00,EUR,COMPLETED,218.91
Card Payment,Current,2019-10-13 15:03:19,2019-10-21 09:15:44,Grab,-0.31,0.00,EUR,COMPLETED,218.60
Deposit,Current,2019-10-22 12:36:44,2019-10-22 12:36:44,Payment from M  FAUCOMPRET REMI,1000.00,0.00,EUR,COMPLETED,1218.60
Card Payment,Current,2019-10-20 08:41:21,2019-10-23 14:41:17,Grab,-1.48,0.00,EUR,COMPLETED,1217.12
Card Payment,Current,2019-10-20 05:52:16,2019-10-23 14:41:17,Grab,-1.09,0.00,EUR,COMPLETED,1216.03
Card Payment,Current,2019-10-20 06:04:01,2019-10-23 14:41:17,Grab,-1.39,0.00,EUR,COMPLETED,1214.64
Card Payment,Current,2019-10-21 08:28:06,2019-10-24 02:26:56,SERVICE,-2.30,0.00,EUR,COMPLETED,1212.34
Card Payment,Current,2019-10-21 10:13:54,2019-10-24 14:22:36,Starbucks,-3.52,0.00,EUR,COMPLETED,1208.82
Card Payment,Current,2019-10-23 07:25:29,2019-10-25 05:42:05,Motdwaenvr Nonhyundong,-11.50,0.00,EUR,COMPLETED,1197.32
Card Payment,Current,2019-10-22 08:35:05,2019-10-25 05:42:05,uForus,-2.31,0.00,EUR,COMPLETED,1195.01
ATM,Current,2019-10-24 07:33:45,2019-10-25 08:56:47,Cash withdrawal at Jcb Co Ltd,-165.42,0.00,EUR,COMPLETED,1029.59
Card Payment,Current,2019-10-24 00:59:11,2019-10-25 09:46:55,Peach Web,-26.06,0.00,EUR,COMPLETED,1003.53
Card Payment,Current,2019-10-22 03:35:41,2019-10-25 11:44:02,Etraveli,-44.13,0.00,EUR,COMPLETED,959.40
Card Payment,Current,2019-10-24 07:16:50,2019-10-29 03:36:55,Kyoto Station,-5.98,0.00,EUR,COMPLETED,953.42
Card Payment,Current,2019-10-25 04:09:40,2019-10-29 03:36:56,Koudaiji Maedacoffee,-9.12,0.00,EUR,COMPLETED,944.30
Card Payment,Current,2019-10-24 12:45:24,2019-10-29 03:36:56,Bal,-87.30,0.00,EUR,COMPLETED,857.00
Card Payment,Current,2019-10-24 01:49:51,2019-10-30 01:17:27,Coffeeworks 711,-6.46,0.00,EUR,COMPLETED,850.54
Card Payment,Current,2019-10-27 08:48:19,2019-10-31 02:38:06,Webase Hakata,-24.05,0.00,EUR,COMPLETED,826.49
Card Payment,Current,2019-10-27 12:16:51,2019-10-31 23:24:20,Hakata Miyachiku,-126.09,0.00,EUR,COMPLETED,700.40
Card Payment,Current,2019-10-27 23:32:17,2019-11-01 02:08:49,Jieiarukyushukosokusen,-127.66,0.00,EUR,COMPLETED,572.74
Card Payment,Current,2019-10-27 23:50:11,2019-11-01 02:08:49,Cvs New Rabbit,-12.82,0.00,EUR,COMPLETED,559.92
Card Payment,Current,2019-11-01 06:32:10,,Zaika,-60.00,0.00,EUR,REVERTED,
Card Payment,Current,2019-10-29 09:45:59,2019-11-01 14:32:10,agoda.com,-32.08,0.00,EUR,COMPLETED,527.84
Card Payment,Current,2019-10-28 12:05:28,2019-11-01 21:52:46,Hangookmaikdonaldeu(y,-0.54,0.00,EUR,COMPLETED,527.30
Card Payment,Current,2019-10-31 19:35:55,2019-11-03 05:46:41,Live It Up Hostel Asok,-8.18,0.00,EUR,COMPLETED,519.12
Card Payment,Current,2019-10-31 19:16:34,2019-11-03 05:46:41,18 Sukhumvit Rd,-1.48,0.00,EUR,COMPLETED,517.64
Card Payment,Current,2019-11-01 15:10:24,2019-11-03 05:46:41,Bangkok Imax Theatre,-10.51,0.00,EUR,COMPLETED,507.13
Card Payment,Current,2019-10-31 19:14:55,2019-11-03 22:09:53,Grab,-10.31,0.00,EUR,COMPLETED,496.82
Card Payment,Current,2019-11-01 10:31:18,2019-11-03 22:09:53,Grab,-8.09,0.00,EUR,COMPLETED,488.73
Card Payment,Current,2019-11-01 06:23:43,2019-11-03 22:09:53,Grab,-1.29,0.00,EUR,COMPLETED,487.44
Card Payment,Current,2019-11-01 14:29:44,2019-11-03 22:09:54,Grab,-1.81,0.00,EUR,COMPLETED,485.63
Card Payment,Current,2019-11-02 08:18:53,2019-11-04 15:41:19,Grab,-1.37,0.00,EUR,COMPLETED,484.26
Card Payment,Current,2019-11-01 18:41:06,2019-11-04 15:41:19,Grab,-2.08,0.00,EUR,COMPLETED,482.18
Card Payment,Current,2019-11-02 13:18:30,2019-11-05 02:08:25,UNIQLO,-59.32,0.00,EUR,COMPLETED,422.86
Card Payment,Current,2019-11-02 10:11:55,2019-11-05 02:08:25,"2C2P (Thailand) Co., Ltd",-16.42,0.00,EUR,COMPLETED,406.44
